,origin,destination,count
3568,60750117001.,60750227042.,1
3567,60750117001.,60750211003.,1
3566,60750117001.,60750206012.,1
3565,60750117001.,60750206011.,1
3564,60750117001.,60750204012.,1
3561,60750117001.,60750180001.,1
3560,60750117001.,60750178041.,1
3559,60750117001.,60750178032.,1
3558,60750117001.,60750178011.,1
3556,60750117001.,60750176043.,1
3555,60750117001.,60750176041.,1
3554,60750117001.,60750176023.,1
3553,60750117001.,60750168023.,1
3552,60750117001.,60750167001.,1
3551,60750117001.,60750166021.,1
3550,60750117001.,60750166011.,1
3548,60750117001.,60750155002.,1
3547,60750117001.,60750155001.,1
3546,60750117001.,60750135001.,1
3545,60750117001.,60750134021.,1
3544,60750117001.,60750133003.,1
3543,60750117001.,60750131021.,1
3542,60750117001.,60750131013.,1
3496,60750113002.,60759809001.,1
3494,60750113002.,60750611011.,1
3426,60750112004.,60750165003.,1
3447,60750113001.,60750122032.,1
3458,60750113001.,60750611011.,1
3457,60750113001.,60750327003.,1
3456,60750113001.,60750203001.,1
3455,60750113001.,60750178043.,1
3454,60750113001.,60750164003.,1
3453,60750113001.,60750163003.,1
3452,60750113001.,60750129023.,1
3451,60750113001.,60750124062.,1
3450,60750113001.,60750124053.,1
3449,60750113001.,60750123021.,1
3448,60750113001.,60750123013.,1
3446,60750113001.,60750122022.,1
3493,60750113002.,60750610003.,1
3445,60750113001.,60750121003.,1
3443,60750113001.,60750117003.,1
3442,60750113001.,60750117002.,1
3441,60750113001.,60750113002.,1
3438,60750113001.,60750110012.,1
3437,60750113001.,60750108003.,1
3436,60750113001.,60750107022.,1
3432,60750113001.,60750105001.,1
3431,60750113001.,60750103001.,1
3430,60750113001.,60750101021.,1
3427,60750112004.,60750203003.,1
3460,60750113001.,60750615011.,1
3461,60750113001.,60750615012.,1
3462,60750113001.,60750615071.,1
3463,60750113001.,60750615083.,1
3492,60750113002.,60750604002.,1
3491,60750113002.,60750309004.,1
3490,60750113002.,60750264031.,1
3489,60750113002.,60750258002.,1
3488,60750113002.,60750257013.,1
3487,60750113002.,60750251001.,1
3485,60750113002.,60750178044.,1
3484,60750113002.,60750178011.,1
3483,60750113002.,60750176023.,1
3482,60750113002.,60750135003.,1
3481,60750113002.,60750128021.,1
3479,60750113002.,60750123023.,1
3478,60750113002.,60750122041.,1
3476,60750113002.,60750121002.,1
3475,60750113002.,60750121001.,1
3474,60750113002.,60750117003.,1
3473,60750113002.,60750117002.,1
3472,60750113002.,60750117001.,1
3470,60750113002.,60750112003.,1
3469,60750113002.,60750111012.,1
3468,60750113002.,60750107022.,1
3465,60750113002.,60750101012.,1
3464,60750113001.,60759809001.,1
10240,60750134011.,60750102021.,1
10242,60750134011.,60750106003.,1
19834,60750202011.,60750122032.,1
16407,60750176022.,60750178042.,1
16427,60750176022.,60750208011.,1
16426,60750176022.,60750207022.,1
