,A,B,Distance
0,7317,33071,767.9320654490512
1,7317,41504,453.7429097216593
2,7317,65284,842.0412746131382
3,7317,67628,544.7992245433369
4,7317,76691,554.0651910093857
5,7317,86722,580.1281240139126
6,7317,222545,664.6309780610611
7,7317,260675,405.13201132141535
8,7317,402923,633.939961106819
9,7317,481163,526.3844034674772
10,7317,552142,747.4038270616595
11,7317,618320,495.12991003066725
12,7317,621934,367.33190201899475
13,7317,701474,629.0216345863691
14,7317,731431,689.7392754707064
15,7317,734138,748.710600699851
16,7317,734778,979.1578218030381
17,7317,825505,844.1057367656549
18,7317,845097,622.4364651882252
19,33071,7317,767.9320654490512
20,33071,41504,565.5030132327229
21,33071,65284,545.9606837672032
22,33071,67628,386.69216418283844
23,33071,76691,952.2220610974578
24,33071,86722,417.43357674450164
25,33071,222545,384.1828881846149
26,33071,260675,772.4396508480698
27,33071,402923,574.0901940506014
28,33071,481163,997.4586354963693
29,33071,552142,523.2967713659896
30,33071,618320,893.5300087263173
31,33071,621934,518.8119871575256
32,33071,701474,416.2520009570002
33,33071,731431,953.8267338341678
34,33071,734138,512.4172355793645
35,33071,734778,502.38648740143685
36,33071,825505,383.98084957776973
37,33071,845097,590.1220169696738
38,41504,7317,453.7429097216593
39,41504,33071,565.5030132327229
40,41504,65284,411.2418460158734
41,41504,67628,415.77194429396366
42,41504,76691,552.4154227079864
43,41504,86722,425.5619511169732
44,41504,222545,370.6965805284483
45,41504,260675,423.10545567661035
46,41504,402923,374.6689218061581
47,41504,481163,695.1676631108792
48,41504,552142,427.48715706330455
49,41504,618320,426.7774302907054
50,41504,621934,428.4429750292693
51,41504,701474,524.4018761276761
52,41504,731431,525.1085562237711
53,41504,734138,537.0031667239632
54,41504,734778,777.5236757009066
55,41504,825505,527.2943918567114
56,41504,845097,368.0632968017759
57,65284,7317,842.0412746131382
58,65284,33071,545.9606837672032
59,65284,41504,411.2418460158734
60,65284,67628,365.72796771991386
61,65284,76691,693.2336426150174
62,65284,86722,338.4584022969241
63,65284,222545,211.12174639596608
64,65284,260675,752.0727425897982
65,65284,402923,297.82690468946186
66,65284,481163,816.6149083700207
67,65284,552142,254.90907040150054
68,65284,618320,749.3821936325145
69,65284,621934,570.6105493479074
70,65284,701474,381.0546096764623
71,65284,731431,712.7085507602027
72,65284,734138,212.46090739218567
73,65284,734778,472.5149870804626
74,65284,825505,494.3894213051115
75,65284,845097,328.3982672283149
76,67628,7317,544.7992245433369
77,67628,33071,386.69216418283844
78,67628,41504,415.77194429396366
79,67628,65284,365.72796771991386
80,67628,76691,727.6443450915285
81,67628,86722,238.43766793807575
82,67628,222545,295.16448625888745
83,67628,260675,586.460891505067
84,67628,402923,403.0495757075179
85,67628,481163,830.448180372017
86,67628,552142,334.45445061759136
87,67628,618320,692.0549095244716
88,67628,621934,312.40819549351136
89,67628,701474,288.3509546977517
90,67628,731431,701.0113510097091
91,67628,734138,373.7028873988477
92,67628,734778,654.2364875787603
93,67628,825505,392.53161703158753
94,67628,845097,413.92305156051566
95,76691,7317,554.0651910093857
96,76691,33071,952.2220610974578
97,76691,41504,552.4154227079864
98,76691,65284,693.2336426150174
99,76691,67628,727.6443450915285
100,76691,86722,651.1119977751026
101,76691,222545,648.108646116052
102,76691,260675,319.16577049678864
103,76691,402923,744.9056892981728
104,76691,481163,381.20468341700155
105,76691,552142,683.2653303949788
106,76691,618320,364.68456230037435
107,76691,621934,534.3799772988334
108,76691,701474,608.0046081978372
109,76691,731431,328.47482228385934
110,76691,734138,596.8249340977198
111,76691,734778,951.604595976833
112,76691,825505,982.0870220896464
113,76691,845097,781.7501474010261
114,86722,7317,580.1281240139126
115,86722,33071,417.43357674450164
116,86722,41504,425.5619511169732
117,86722,65284,338.4584022969241
118,86722,67628,238.43766793807575
119,86722,76691,651.1119977751026
120,86722,222545,187.60909501584456
121,86722,260675,473.52087974635265
122,86722,402923,413.5123571073995
123,86722,481163,792.4668516736016
124,86722,552142,211.07110862361014
125,86722,618320,634.2360196866865
126,86722,621934,390.522957228633
127,86722,701474,289.6680992337772
128,86722,731431,634.5977151843972
129,86722,734138,308.5639672627612
130,86722,734778,603.1614469930055
131,86722,825505,360.170676167158
132,86722,845097,428.1634078872261
133,222545,7317,664.6309780610611
134,222545,33071,384.1828881846149
135,222545,41504,370.6965805284483
136,222545,65284,211.12174639596608
137,222545,67628,295.16448625888745
138,222545,76691,648.108646116052
139,222545,86722,187.60909501584456
140,222545,260675,582.2488066108391
141,222545,402923,394.57438255742625
142,222545,481163,679.7499199620295
143,222545,552142,262.5542283301509
144,222545,618320,581.2898278152406
145,222545,621934,427.06169650905605
146,222545,701474,307.4135164463443
147,222545,731431,606.2347539480518
148,222545,734138,270.1799029785743
149,222545,734778,520.8856605203863
150,222545,825505,455.9842580421924
151,222545,845097,409.2517620464874
152,260675,7317,405.13201132141535
153,260675,33071,772.4396508480698
154,260675,41504,423.10545567661035
155,260675,65284,752.0727425897982
156,260675,67628,586.460891505067
157,260675,76691,319.16577049678864
158,260675,86722,473.52087974635265
159,260675,222545,582.2488066108391
160,260675,402923,623.8980536313458
161,260675,481163,454.57834244577094
162,260675,552142,585.5375841306198
163,260675,618320,300.5315135649675
164,260675,621934,421.4696729171904
165,260675,701474,510.8098282033146
166,260675,731431,306.30497587149404
167,260675,734138,588.0598363697557
168,260675,734778,989.3458388518457
169,260675,825505,818.033260828292
170,260675,845097,655.0672872273506
171,402923,7317,633.939961106819
172,402923,33071,574.0901940506014
173,402923,41504,374.6689218061581
174,402923,65284,297.82690468946186
175,402923,67628,403.0495757075179
176,402923,76691,744.9056892981728
177,402923,86722,413.5123571073995
178,402923,222545,394.57438255742625
179,402923,260675,623.8980536313458
180,402923,481163,828.0000520373515
181,402923,552142,390.865827448682
182,402923,618320,700.7858519700745
183,402923,621934,447.1283599972758
184,402923,701474,385.5662533424953
185,402923,731431,713.7222426933367
186,402923,734138,394.91040288429843
187,402923,734778,664.1042501879383
188,402923,825505,387.8882214823962
189,402923,845097,317.8558508072388
190,481163,7317,526.3844034674772
191,481163,33071,997.4586354963693
192,481163,41504,695.1676631108792
193,481163,65284,816.6149083700207
194,481163,67628,830.448180372017
195,481163,76691,381.20468341700155
196,481163,86722,792.4668516736016
197,481163,222545,679.7499199620295
198,481163,260675,454.57834244577094
199,481163,402923,828.0000520373515
200,481163,552142,761.4823008381604
201,481163,618320,374.28696689819384
202,481163,621934,713.1343431336959
203,481163,701474,742.7566390536693
204,481163,731431,374.6247820779758
205,481163,734138,688.6997405210876
206,481163,734778,1095.9206823690647
207,481163,825505,1090.989215246587
208,481163,845097,866.9394168764871
209,552142,7317,747.4038270616595
210,552142,33071,523.2967713659896
211,552142,41504,427.48715706330455
212,552142,65284,254.90907040150054
213,552142,67628,334.45445061759136
214,552142,76691,683.2653303949788
215,552142,86722,211.07110862361014
216,552142,222545,262.5542283301509
217,552142,260675,585.5375841306198
218,552142,402923,390.865827448682
219,552142,481163,761.4823008381604
220,552142,618320,636.3968829442033
221,552142,621934,520.3419159548777
222,552142,701474,303.21116651169194
223,552142,731431,650.5005131947509
224,552142,734138,274.2115396339196
225,552142,734778,506.3326366731601
226,552142,825505,398.57340470206725
227,552142,845097,393.53275946091395
228,618320,7317,495.12991003066725
229,618320,33071,893.5300087263173
230,618320,41504,426.7774302907054
231,618320,65284,749.3821936325145
232,618320,67628,692.0549095244716
233,618320,76691,364.68456230037435
234,618320,86722,634.2360196866865
235,618320,222545,581.2898278152406
236,618320,260675,300.5315135649675
237,618320,402923,700.7858519700745
238,618320,481163,374.28696689819384
239,618320,552142,636.3968829442033
240,618320,621934,530.2105945651617
241,618320,701474,572.476583952602
242,618320,731431,194.94344736018485
243,618320,734138,584.4483284382795
244,618320,734778,1008.062799715249
245,618320,825505,951.2025177468786
246,618320,845097,738.8830064036538
247,621934,7317,367.33190201899475
248,621934,33071,518.8119871575256
249,621934,41504,428.4429750292693
250,621934,65284,570.6105493479074
251,621934,67628,312.40819549351136
252,621934,76691,534.3799772988334
253,621934,86722,390.522957228633
254,621934,222545,427.06169650905605
255,621934,260675,421.4696729171904
256,621934,402923,447.1283599972758
257,621934,481163,713.1343431336959
258,621934,552142,520.3419159548777
259,621934,618320,530.2105945651617
260,621934,701474,470.2542743739457
261,621934,731431,524.6494578854598
262,621934,734138,525.6568865714761
263,621934,734778,721.4081706245706
264,621934,825505,669.6879939948906
265,621934,845097,419.49668397836535
266,701474,7317,629.0216345863691
267,701474,33071,416.2520009570002
268,701474,41504,524.4018761276761
269,701474,65284,381.0546096764623
270,701474,67628,288.3509546977517
271,701474,76691,608.0046081978372
272,701474,86722,289.6680992337772
273,701474,222545,307.4135164463443
274,701474,260675,510.8098282033146
275,701474,402923,385.5662533424953
276,701474,481163,742.7566390536693
277,701474,552142,303.21116651169194
278,701474,618320,572.476583952602
279,701474,621934,470.2542743739457
280,701474,731431,581.1057637233212
281,701474,734138,327.145005674353
282,701474,734778,525.8570711324276
283,701474,825505,379.0127584612818
284,701474,845097,395.7831409483948
285,731431,7317,689.7392754707064
286,731431,33071,953.8267338341678
287,731431,41504,525.1085562237711
288,731431,65284,712.7085507602027
289,731431,67628,701.0113510097091
290,731431,76691,328.47482228385934
291,731431,86722,634.5977151843972
292,731431,222545,606.2347539480518
293,731431,260675,306.30497587149404
294,731431,402923,713.7222426933367
295,731431,481163,374.6247820779758
296,731431,552142,650.5005131947509
297,731431,618320,194.94344736018485
298,731431,621934,524.6494578854598
299,731431,701474,581.1057637233212
300,731431,734138,614.1660430845204
301,731431,734778,971.6947323093887
302,731431,825505,958.4140417655979
303,731431,845097,751.3005615019553
304,734138,7317,748.710600699851
305,734138,33071,512.4172355793645
306,734138,41504,537.0031667239632
307,734138,65284,212.46090739218567
308,734138,67628,373.7028873988477
309,734138,76691,596.8249340977198
310,734138,86722,308.5639672627612
311,734138,222545,270.1799029785743
312,734138,260675,588.0598363697557
313,734138,402923,394.91040288429843
314,734138,481163,688.6997405210876
315,734138,552142,274.2115396339196
316,734138,618320,584.4483284382795
317,734138,621934,525.6568865714761
318,734138,701474,327.145005674353
319,734138,731431,614.1660430845204
320,734138,734778,453.2314754446999
321,734138,825505,574.1631027652111
322,734138,845097,397.1558375801658
323,734778,7317,979.1578218030381
324,734778,33071,502.38648740143685
