,origin,destination,count
12553,60750129023.,60750128021.,70
9314,60750123023.,60750123013.,62
24284,60750179031.,60750615011.,48
1483,60750106002.,60750123013.,43
11890,60750128021.,60750129023.,42
1437,60750106002.,60750106003.,40
40193,60750611012.,60750106003.,39
40967,60750615012.,60750123013.,38
8631,60750123013.,60750117003.,38
11719,60750128013.,60750128021.,38
39120,60750601002.,60750128021.,38
41816,60750615031.,60750615012.,35
4,60750101011.,60750102021.,35
27177,60750205001.,60750203003.,34
24288,60750179031.,60750615031.,34
19247,60750166012.,60750166021.,33
41238,60750615012.,60750615013.,33
40192,60750611012.,60750106002.,33
27188,60750205001.,60750206011.,33
8658,60750123013.,60750123023.,32
40945,60750615012.,60750117003.,32
39048,60750601001.,60750128021.,32
40890,60750615011.,60750615012.,32
5684,60750117004.,60750117003.,31
5413,60750117003.,60750123013.,31
1706,60750106003.,60750101011.,31
41458,60750615013.,60750615012.,30
40970,60750615012.,60750123023.,30
27189,60750205001.,60750206012.,30
1486,60750106002.,60750123023.,29
7066,60750121001.,60750123023.,29
11316,60750126012.,60750128021.,29
695,60750103001.,60750107021.,29
8905,60750123013.,60750615012.,29
11491,60750127001.,60750128021.,29
11635,60750128012.,60750128021.,28
5509,60750117003.,60750176023.,28
27931,60750206012.,60750203003.,27
12994,60750130021.,60750128021.,27
11893,60750128021.,60750130021.,27
8659,60750123013.,60750123024.,26
5416,60750117003.,60750123023.,26
40215,60750611012.,60750117002.,26
12220,60750129011.,60750129023.,25
11193,60750126011.,60750128021.,25
5077,60750117002.,60750106002.,25
41236,60750615012.,60750615011.,25
40237,60750611012.,60750123013.,24
24285,60750179031.,60750615012.,24
6,60750101011.,60750103001.,24
1687,60750106002.,60750611012.,24
40091,60750610003.,60750615012.,24
7741,60750122022.,60750120022.,24
825,60750103002.,60750107021.,24
5392,60750117003.,60750117002.,23
40946,60750615012.,60750117004.,23
20196,60750168011.,60750169002.,23
40791,60750615011.,60750179031.,23
39886,60750610003.,60750123013.,23
12215,60750129011.,60750128021.,23
9291,60750123023.,60750117003.,23
13179,60750130022.,60750128021.,23
3227,60750109022.,60750109021.,23
1771,60750106003.,60750123013.,23
33047,60750253004.,60750209001.,22
11894,60750128021.,60750130022.,22
18828,60750165001.,60750164001.,22
1960,60750106003.,60750611012.,22
19704,60750167001.,60750169002.,21
5636,60750117003.,60750615012.,21
12561,60750129023.,60750130021.,21
8605,60750123013.,60750106002.,21
7063,60750121001.,60750123013.,21
7753,60750122022.,60750123013.,21
41066,60750615012.,60750176023.,21
41241,60750615012.,60750615031.,21
12442,60750129022.,60750128021.,20
7533,60750122021.,60750122022.,20
40944,60750615012.,60750117002.,20
1424,60750106002.,60750101011.,20
11886,60750128021.,60750129011.,20
21628,60750171023.,60750166021.,20
33832,60750258002.,60750179031.,20
8648,60750123013.,60750122022.,20
24179,60750179031.,60750117002.,20
11536,60750127002.,60750128021.,20
1690,60750106002.,60750615012.,20
8761,60750123013.,60750176023.,19
26902,60750204013.,60750205001.,19
11806,60750128021.,60750106002.,19
11441,60750126022.,60750128021.,19
19699,60750167001.,60750168011.,19
21032,60750169002.,60750205001.,19
40918,60750615012.,60750106002.,19
22211,60750176023.,60750615012.,19
13183,60750130022.,60750129023.,19
32033,60750229011.,60750209001.,19
23056,60750177002.,60750201021.,18
7756,60750122022.,60750123023.,18
7405,60750121003.,60750123023.,18
11393,60750126021.,60750128021.,18
7745,60750122022.,60750122021.,18
29638,60750209001.,60750208013.,18
20811,60750169001.,60750203003.,18
9318,60750123023.,60750123024.,18
11836,60750128021.,60750117003.,18
9290,60750123023.,60750117002.,18
9125,60750123022.,60750123013.,18
853,60750103003.,60750107021.,18
8630,60750123013.,60750117002.,18
3028,60750109021.,60750107011.,18
1752,60750106003.,60750117003.,18
1964,60750106003.,60750615012.,18
9307,60750123023.,60750122022.,18
27671,60750206011.,60750206012.,17
618,60750102022.,60750102021.,17
12998,60750130021.,60750129023.,17
16,60750101011.,60750107021.,17
19487,60750166021.,60750166012.,17
5346,60750117002.,60750615071.,17
1204,60750105002.,60750117002.,17
12368,60750129021.,60750128021.,17
5367,60750117003.,60750106002.,17
21833,60750176022.,60750176023.,17
7042,60750121001.,60750117003.,16
40409,60750611012.,60750615012.,16
1691,60750106002.,60750615013.,16
39868,60750610003.,60750117003.,16
1728,60750106003.,60750107021.,16
40097,60750610003.,60750615041.,16
19493,60750166021.,60750168011.,16
5662,60750117004.,60750106003.,16
1323,60750105002.,60750615011.,16
12106,60750128021.,60750601002.,16
41235,60750615012.,60750611012.,16
26704,60750203003.,60750202012.,16
7731,60750122022.,60750117003.,16
29454,60750208022.,60750201023.,16
9303,60750123023.,60750121001.,16
8637,60750123013.,60750119021.,16
8632,60750123013.,60750117004.,16
1372,60750106001.,60750106003.,16
39575,60750607031.,60750615012.,16
41815,60750615031.,60750615011.,16
39985,60750610003.,60750179031.,16
9598,60750123024.,60750123023.,16
3026,60750109021.,60750106002.,16
11874,60750128021.,60750126011.,16
464,60750102021.,60750103001.,16
5404,60750117003.,60750121001.,16
9531,60750123023.,60750615012.,16
12296,60750129012.,60750128021.,16
42092,60750615061.,60750615071.,15
11819,60750128021.,60750110011.,15
2896,60750109011.,60750107021.,15
19292,60750166012.,60750205001.,15
22210,60750176023.,60750615011.,15
42305,60750615071.,60750615011.,15
39530,60750607031.,60750180001.,15
1727,60750106003.,60750107012.,15
12373,60750129021.,60750129023.,15
26714,60750203003.,60750205001.,15
8898,60750123013.,60750610003.,15
29639,60750209001.,60750208021.,15
3609,60750110021.,60750106002.,15
40956,60750615012.,60750121001.,15
30021,60750209004.,60750208013.,15
13186,60750130022.,60750130021.,15
39671,60750607032.,60750607031.,15
8904,60750123013.,60750615011.,15
5103,60750117002.,60750117003.,15
33739,60750258002.,60750123013.,15
11575,60750127003.,60750128021.,15
11790,60750128021.,60750101011.,15
5332,60750117002.,60750611012.,15
1434,60750106002.,60750105002.,15
27410,60750205002.,60750203003.,15
23037,60750177002.,60750176023.,15
29235,60750208021.,60750177002.,15
41457,60750615013.,60750615011.,15
23048,60750177002.,60750178032.,15
8644,60750123013.,60750121001.,15
8647,60750123013.,60750122021.,15
1510,60750106002.,60750129023.,15
40919,60750615012.,60750106003.,15
42507,60759803001.,60750166021.,15
8672,60750123013.,60750125032.,15
23047,60750177002.,60750178031.,15
12446,60750129022.,60750129023.,15
1185,60750105002.,60750106002.,15
33050,60750253004.,60750209004.,15
23636,60750178032.,60750205001.,15
1492,60750106002.,60750125032.,15
413,60750102012.,60750109022.,15
33013,60750253004.,60750177002.,15
1031,60750104022.,60750106003.,15
13002,60750130021.,60750130022.,15
40665,60750615011.,60750117003.,15
11891,60750128021.,60750130011.,14
20231,60750168011.,60750205001.,14
34778,60750301011.,60750166021.,14
26987,60750204023.,60750205001.,14
33726,60750258002.,60750117003.,14
23049,60750177002.,60750178041.,14
12116,60750128021.,60750611012.,14
19533,60750166021.,60750205001.,14
1439,60750106002.,60750107012.,14
1055,60750104023.,60750106003.,14
14943,60750152022.,60750128021.,14
5631,60750117003.,60750611012.,14
30022,60750209004.,60750208021.,14
39119,60750601002.,60750128013.,14
35286,60750302022.,60750166021.,14
41691,60750615031.,60750123013.,14
19970,60750167004.,60750164002.,14
27186,60750205001.,60750205002.,14
17280,60750160002.,60750122022.,14
