,A,B,Distance
0,6773.0,151125.0,822.0953850986432
1,6773.0,198441.0,1312.1667584273087
2,6773.0,282354.0,1808.7238409890122
3,6773.0,326349.0,1368.4883065830397
4,6773.0,394249.0,1363.0636383002648
5,6773.0,453866.0,1804.6803610763145
6,6773.0,485100.0,1310.5900947566136
7,6773.0,564042.0,1346.2822509053635
8,6773.0,620523.0,1306.1216918156451
9,6773.0,657479.0,1429.019460642589
10,6773.0,715029.0,1371.9871758707918
11,6773.0,717276.0,827.9698618183264
12,6773.0,722114.0,1306.9924101355193
13,6773.0,738295.0,1435.3362935016512
14,6773.0,747857.0,1429.8237460417904
15,6773.0,772649.0,229.56205769678962
16,6773.0,821899.0,1146.6331267480193
17,6773.0,839469.0,1694.081555965886
18,6773.0,869156.0,1411.0422267735673
19,6773.0,881294.0,846.8506742368585
20,6773.0,904330.0,1151.6902730926458
21,6773.0,907466.0,1225.8639961568597
22,151125.0,6773.0,822.0953850986432
23,151125.0,198441.0,1475.0679689321134
24,151125.0,282354.0,1583.9828636297666
25,151125.0,326349.0,1525.9880860665776
26,151125.0,394249.0,1536.2901724723151
27,151125.0,453866.0,1650.0102268258204
28,151125.0,485100.0,1504.6002211193897
29,151125.0,564042.0,1585.632068863275
30,151125.0,620523.0,1492.7663349475915
31,151125.0,657479.0,1569.9902577889388
32,151125.0,715029.0,1529.6696867237717
33,151125.0,717276.0,648.3515497217651
34,151125.0,722114.0,1500.0080590500045
35,151125.0,738295.0,1474.5769280462341
36,151125.0,747857.0,1556.9999008897178
37,151125.0,772649.0,649.0307213727087
38,151125.0,821899.0,1441.0434491730828
39,151125.0,839469.0,1341.6539630884618
40,151125.0,869156.0,1589.5255035122782
41,151125.0,881294.0,236.1784374215395
42,151125.0,904330.0,1001.2036607634515
43,151125.0,907466.0,1144.57195898676
44,198441.0,6773.0,1312.1667584273087
45,198441.0,151125.0,1475.0679689321134
46,198441.0,282354.0,1110.6689020093866
47,198441.0,326349.0,828.7715757949455
48,198441.0,394249.0,848.0226057895527
