,origin,destination,count
1683,60750105002.,60750101011.,203
1732,60750105002.,60750117002.,200
5179,60750117002.,60750117004.,197
5144,60750117002.,60750105002.,189
5481,60750117003.,60750101011.,168
42208,60750615071.,60750117002.,157
1480,60750105001.,60750101011.,149
5178,60750117002.,60750117003.,144
40985,60750615012.,60750610003.,139
42178,60750615071.,60750105002.,137
39884,60750611012.,60750117002.,136
8368,60750123013.,60750101011.,133
5128,60750117002.,60750101011.,133
5171,60750117002.,60750112002.,130
5851,60750117004.,60750117003.,128
5143,60750117002.,60750105001.,127
40485,60750615011.,60750117002.,126
5850,60750117004.,60750117002.,125
5454,60750117002.,60750611012.,121
287,60750101011.,60750610003.,115
5529,60750117003.,60750117004.,114
5,60750101011.,60750102021.,114
1698,60750105002.,60750105001.,113
49,60750101011.,60750117003.,110
16,60750101011.,60750105002.,106
7,60750101011.,60750103001.,100
39741,60750610003.,60750615012.,98
5460,60750117002.,60750615011.,98
5527,60750117003.,60750117002.,97
15,60750101011.,60750105001.,95
1526,60750105001.,60750117002.,95
5788,60750117003.,60750615012.,95
5461,60750117002.,60750615012.,95
40696,60750615011.,60750615012.,93
8622,60750123013.,60750610003.,92
5552,60750117003.,60750123013.,92
6064,60750117004.,60750615013.,91
48,60750101011.,60750117002.,90
40878,60750615012.,60750176023.,89
40942,60750615012.,60750258002.,89
5184,60750117002.,60750119021.,88
39101,60750607032.,60750615011.,87
5804,60750117004.,60750101011.,87
40756,60750615012.,60750117002.,86
5474,60750117002.,60750615071.,84
8864,60750123023.,60750101011.,84
38932,60750607032.,60750117002.,82
40716,60750615012.,60750101011.,81
1496,60750105001.,60750105002.,79
42408,60750615071.,60750615011.,75
42163,60750615071.,60750101011.,75
22243,60750176023.,60750610003.,73
5555,60750117003.,60750123023.,73
4107,60750111021.,60750117002.,72
40456,60750615011.,60750105002.,72
1955,60750105002.,60750615071.,72
40779,60750615012.,60750123013.,72
5212,60750117002.,60750124053.,72
40731,60750615012.,60750105002.,71
1734,60750105002.,60750117004.,71
22253,60750176023.,60750615012.,71
5176,60750117002.,60750117001.,70
5191,60750117002.,60750121001.,69
40757,60750615012.,60750117003.,69
5202,60750117002.,60750123013.,68
5452,60750117002.,60750610003.,68
41005,60750615012.,60750615071.,66
8904,60750123023.,60750117003.,66
681,60750102021.,60750101011.,66
8408,60750123013.,60750117002.,65
42409,60750615071.,60750615012.,64
311,60750101012.,60750101011.,63
41653,60750615031.,60750615012.,63
4493,60750112002.,60750101011.,63
4534,60750112002.,60750117002.,63
39853,60750611012.,60750105002.,62
39837,60750611012.,60750101011.,62
1733,60750105002.,60750117003.,62
5878,60750117004.,60750123023.,62
5781,60750117003.,60750610003.,61
1939,60750105002.,60750611012.,61
42210,60750615071.,60750117004.,60
40997,60750615012.,60750615031.,60
1726,60750105002.,60750112002.,60
40994,60750615012.,60750615013.,59
5205,60750117002.,60750123023.,59
22,60750101011.,60750107021.,59
40709,60750615011.,60750615071.,59
1944,60750105002.,60750615012.,59
39405,60750610003.,60750117002.,58
8629,60750123013.,60750615012.,57
6581,60750119021.,60750610003.,57
42209,60750615071.,60750117003.,57
39886,60750611012.,60750117004.,57
40487,60750615011.,60750117004.,57
5148,60750117002.,60750106003.,57
5462,60750117002.,60750615013.,56
7205,60750121001.,60750117003.,56
41477,60750615031.,60750117002.,56
40074,60750611012.,60750615071.,56
41222,60750615013.,60750615012.,55
6058,60750117004.,60750611012.,55
22068,60750176023.,60750123013.,55
6442,60750119021.,60750117002.,54
289,60750101011.,60750611012.,54
294,60750101011.,60750615012.,54
1943,60750105002.,60750615011.,54
39406,60750610003.,60750117003.,54
40697,60750615011.,60750615013.,54
39427,60750610003.,60750123013.,54
5666,60750117003.,60750176023.,53
222,60750101011.,60750258002.,53
6063,60750117004.,60750615012.,53
32401,60750258002.,60750615012.,53
40758,60750615012.,60750117004.,52
41646,60750615031.,60750610003.,51
7171,60750121001.,60750101011.,51
5541,60750117003.,60750121001.,51
1,60750101011.,60750101012.,51
4977,60750117001.,60750117002.,51
40507,60750615011.,60750123013.,51
5875,60750117004.,60750123013.,50
4685,60750112002.,60750610003.,50
5495,60750117003.,60750105002.,50
5864,60750117004.,60750121001.,50
32125,60750258002.,60750117002.,50
43141,60759809001.,60750610003.,49
42404,60750615071.,60750611012.,49
5168,60750117002.,60750111021.,49
40486,60750615011.,60750117003.,49
39726,60750610003.,60750607032.,48
8409,60750123013.,60750117003.,48
24446,60750180002.,60750607032.,47
75,60750101011.,60750123023.,47
5845,60750117004.,60750112002.,47
5729,60750117003.,60750258002.,47
9074,60750123023.,60750610003.,46
40700,60750615011.,60750615031.,46
5819,60750117004.,60750105002.,46
6062,60750117004.,60750615011.,46
1663,60750105001.,60750611012.,46
1937,60750105002.,60750610003.,46
5789,60750117003.,60750615013.,46
40441,60750615011.,60750101011.,46
39102,60750607032.,60750615012.,46
32142,60750258002.,60750123013.,46
42402,60750615071.,60750610003.,45
72,60750101011.,60750123013.,45
42413,60750615071.,60750615031.,45
5787,60750117003.,60750615011.,45
39759,60750610003.,60759809001.,44
22017,60750176023.,60750101011.,44
41012,60750615013.,60750101011.,44
40690,60750615011.,60750611012.,44
8578,60750123013.,60750258002.,44
2,60750101011.,60750101021.,43
4541,60750112002.,60750119021.,43
5857,60750117004.,60750119021.,43
39885,60750611012.,60750117003.,43
5165,60750117002.,60750111011.,43
39184,60750607033.,60750607032.,43
8382,60750123013.,60750105002.,43
6056,60750117004.,60750610003.,43
5322,60750117002.,60750176023.,43
5465,60750117002.,60750615031.,43
41054,60750615013.,60750117002.,42
22210,60750176023.,60750258002.,42
39878,60750611012.,60750112002.,42
4984,60750117001.,60750119021.,42
5798,60750117003.,60750615071.,41
39753,60750610003.,60750615071.,41
24793,60750180004.,60750607032.,41
40992,60750615012.,60750615011.,41
38735,60750607021.,60750607032.,41
6075,60750117004.,60750615071.,41
4972,60750117001.,60750112002.,41
42,60750101011.,60750112002.,40
38934,60750607032.,60750117004.,40
43016,60759809001.,60750209002.,40
4108,60750111021.,60750117003.,39
8903,60750123023.,60750117002.,39
3,60750101011.,60750102011.,39
966,60750103001.,60750117002.,39
39740,60750610003.,60750615011.,39
2150,60750106003.,60750101011.,38
43015,60759809001.,60750209001.,38
41055,60750615013.,60750117003.,38
7204,60750121001.,60750117002.,38
9078,60750123023.,60750615012.,38
40455,60750615011.,60750105001.,38
8410,60750123013.,60750117004.,38
8628,60750123013.,60750615011.,37
32126,60750258002.,60750117003.,37
39407,60750610003.,60750117004.,37
8925,60750123023.,60750123013.,37
40782,60750615012.,60750123023.,37
3227,60750109022.,60750117002.,37
1755,60750105002.,60750123013.,37
32412,60750258002.,60750615071.,37
8535,60750123013.,60750178011.,37
39519,60750610003.,60750176023.,37
38911,60750607032.,60750105002.,36
41460,60750615031.,60750105002.,36
9546,60750124051.,60750124053.,36
40481,60750615011.,60750112002.,36
1528,60750105001.,60750117004.,36
22046,60750176023.,60750117002.,36
24576,60750180003.,60750607032.,36
6,60750101011.,60750102022.,36
91,60750101011.,60750126022.,35
61,60750101011.,60750121001.,35
41186,60750615013.,60750258002.,35
41652,60750615031.,60750615011.,35
5522,60750117003.,60750112002.,35
39370,60750610003.,60750101011.,35
3776,60750111011.,60750117002.,35
50,60750101011.,60750117004.,35
10504,60750125032.,60750101011.,35
305,60750101011.,60750615071.,34
5392,60750117002.,60750258002.,34
39430,60750610003.,60750123023.,34
41451,60750615031.,60750101011.,34
39539,60750610003.,60750180002.,34
38116,60750601002.,60750128021.,34
41666,60750615031.,60750615071.,34
40987,60750615012.,60750611012.,34
40055,60750611012.,60750610003.,34
40897,60750615012.,60750180002.,33
5783,60750117003.,60750611012.,33
5884,60750117004.,60750124053.,33
39745,60750610003.,60750615031.,33
7226,60750121001.,60750123013.,33
40062,60750611012.,60750615012.,33
41214,60750615013.,60750610003.,33
5147,60750117002.,60750106002.,32
1703,60750105002.,60750106003.,32
41056,60750615013.,60750117004.,32
40061,60750611012.,60750615011.,32
323,60750101012.,60750105001.,32
41435,60750615022.,60750615012.,32
293,60750101011.,60750615011.,32
41429,60750615022.,60750607032.,32
5556,60750117003.,60750123024.,31
4693,60750112002.,60750615012.,31
39742,60750610003.,60750615013.,31
41564,60750615031.,60750176023.,31
41617,60750615031.,60750258002.,31
6443,60750119021.,60750117003.,31
5534,60750117003.,60750119021.,31
32108,60750258002.,60750105002.,31
39852,60750611012.,60750105001.,31
22047,60750176023.,60750117003.,31
39094,60750607032.,60750610003.,30
23249,60750178011.,60750123013.,30
8446,60750123013.,60750125032.,30
4536,60750112002.,60750117004.,30
39857,60750611012.,60750106003.,30
4979,60750117001.,60750117004.,30
5129,60750117002.,60750101012.,30
41025,60750615013.,60750105002.,30
8641,60750123013.,60750615071.,30
100,60750101011.,60750129011.,30
41074,60750615013.,60750123013.,29
7229,60750121001.,60750123023.,29
39096,60750607032.,60750611012.,29
12703,60750130021.,60750117002.,29
40604,60750615011.,60750176023.,29
6556,60750119021.,60750258002.,29
30,60750101011.,60750109022.,29
1500,60750105001.,60750106003.,29
24260,60750180001.,60750615012.,29
176,60750101011.,60750176023.,29
5849,60750117004.,60750117001.,29
39732,60750610003.,60750611012.,29
2191,60750106003.,60750117002.,29
39106,60750607032.,60750615031.,29
1744,60750105002.,60750121001.,29
8433,60750123013.,60750123023.,28
32127,60750258002.,60750117004.,28
39089,60750607032.,60750607031.,28
40791,60750615012.,60750124053.,28
4535,60750112002.,60750117003.,28
5818,60750117004.,60750105001.,28
7180,60750121001.,60750105002.,28
38910,60750607032.,60750105001.,28
5561,60750117003.,60750124053.,28
39382,60750610003.,60750105002.,28
344,60750101012.,60750117002.,28
38878,60750607031.,60750607032.,28
1666,60750105001.,60750615011.,28
10675,60750125032.,60750610003.,28
1762,60750105002.,60750124053.,27
5111,60750117001.,60750610003.,27
5526,60750117003.,60750117001.,27
7363,60750121001.,60750610003.,27
4072,60750111021.,60750101011.,27
40510,60750615011.,60750123023.,27
42177,60750615071.,60750105001.,27
6401,60750119021.,60750101011.,27
6436,60750119021.,60750112002.,27
40983,60750615012.,60750610001.,27
41221,60750615013.,60750615011.,27
5167,60750117002.,60750111013.,27
55,60750101011.,60750119021.,27
10561,60750125032.,60750123013.,27
8624,60750123013.,60750611012.,27
27,60750101011.,60750109011.,27
40688,60750615011.,60750610003.,27
23294,60750178011.,60750176023.,27
43018,60759809001.,60750209004.,27
9872,60750124053.,60750117002.,27
5675,60750117003.,60750178011.,27
42203,60750615071.,60750112002.,27
32388,60750258002.,60750607032.,27
38900,60750607032.,60750101011.,26
38933,60750607032.,60750117003.,26
2042,60750106002.,60750101011.,26
19,60750101011.,60750106003.,26
